name,length,vocabulary,volume,difficulty,effort,level,bugs,time,intelligentContent,number_operators,number_operands,number_operators_unique,number_operands_unique,ccn,ccnMethodMax,kanDefect,mi,mIwoC,commentWeight,externals,parents,lcom,relativeStructuralComplexity,relativeDataComplexity,relativeSystemComplexity,totalStructuralComplexity,totalDataComplexity,totalSystemComplexity,cloc,loc,lloc,methods,nbMethodsIncludingGettersSetters,nbMethods,nbMethodsPrivate,nbMethodsPublic,nbMethodsGetter,nbMethodsSetters,afferentCoupling,efferentCoupling,instability,depthOfInheritanceTree,pageRank
"App\CacheKernel",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15,213.45,171,42.45,N/A,N/A,0,0,0,0,0,0,0,3,7,4,N/A,0,0,0,0,0,0,0,1,1,N/A,0.02
"App\Controller\DefaultController",5,4,10,0.67,6.67,1.5,0,0,15,1,4,1,3,1,1,0.15,118.9,73.16,45.73,N/A,N/A,1,4,0.67,4.67,4,0.67,4.67,10,18,8,N/A,1,1,0,1,0,0,0,4,1,N/A,0.02
"App\Controller\SecurityController",15,8,45,2,90,0.5,0.02,5,22.5,3,12,2,6,2,2,0.15,109.82,63.86,45.96,N/A,N/A,2,9,0.38,9.38,18,0.75,18.75,17,30,13,N/A,2,2,0,2,0,0,0,4,1,N/A,0.02
"App\Controller\TaskController",125,34,635.93,9.05,5756.29,0.11,0.21,320,70.26,20,105,5,29,7,3,0.36,85.42,40.96,44.46,N/A,N/A,1,441,0.45,441.45,2646,2.68,2648.68,58,116,58,N/A,6,5,0,5,0,1,0,10,1,N/A,0.02
"App\Controller\UserController",124,30,608.45,10,6084.54,0.1,0.2,338,60.85,24,100,5,25,9,4,0.36,85.26,41.16,44.1,N/A,N/A,1,324,0.46,324.46,1620,2.32,1622.32,53,109,56,N/A,5,5,0,5,0,0,0,11,1,N/A,0.02
"App\DataFixtures\AppFixtures",84,30,412.18,5.15,2124.31,0.19,0.14,118,79.97,17,67,4,26,7,4,0.89,85.59,44.07,41.52,N/A,N/A,1,256,0.32,256.32,1024,1.29,1025.29,32,80,48,N/A,4,4,3,1,0,0,0,6,1,N/A,0.02
"App\Entity\Task",46,10,152.81,3.63,553.93,0.28,0.05,31,42.15,17,29,2,8,2,2,0.15,90.11,44.75,45.36,N/A,N/A,1,0,11.38,11.38,0,148,148,77,143,66,N/A,13,2,0,2,6,5,2,1,0.33,N/A,0.05
"App\Entity\User",47,12,168.49,7,1179.45,0.14,0.06,66,24.07,19,28,4,8,2,2,0.22,91.01,43.62,47.39,N/A,N/A,3,1,6.19,7.19,13,80.5,93.5,132,204,72,N/A,13,4,0,4,5,4,2,2,0.5,N/A,0.05
"App\Event\PasswordHashSubscriber",28,9,88.76,5,443.79,0.2,0.03,25,17.75,8,20,3,6,4,3,0.36,94.05,52.41,41.64,N/A,N/A,2,36,0.54,36.54,180,2.71,182.71,23,57,34,N/A,5,4,1,3,0,1,0,4,1,N/A,0.02
"App\Event\TaskSubscriber",19,9,60.23,4.8,289.1,0.21,0.02,16,12.55,7,12,4,5,3,3,0.22,101.69,57.85,43.84,N/A,N/A,2,16,0.53,16.53,48,1.6,49.6,20,42,22,N/A,3,2,0,2,0,1,0,4,1,N/A,0.02
